,Unnamed: 0,GEOID,POP10,HU10,ALAND,INTPTLAT,INTPTLONG                                                                                                                  ,coor,FIPS,FIPSS,ln,liquordense,popdense,housedense
30,30,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.8075974489796, -122.415784938776)",60750101001006,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
31,31,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.808987999999999, -122.416028)",60750101001001,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
32,32,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.807467250000002, -122.418359389)",60750101001007,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
33,33,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.8059989, -122.405121463524)",60750101002000,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
34,34,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.808096999999997, -122.4180939)",60750101001005,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
35,35,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.806024157899998, -122.40967842100001)",60750101002003,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
36,36,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.805913877551, -122.415238285714)",60750101001021,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
37,37,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.8083861377693, -122.415721098935)",60750101001004,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
38,38,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.8080408163, -122.416539837)",60750101001006,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
39,39,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.805486795900002, -122.416838571)",60750101001022,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
40,40,6075010100,3739,2267,776482,37.8084198,-122.4085794,"(37.804664367299999, -122.412926918)",60750101002010,6075010100,45,5.79536937109e-05,0.00481530801744,0.00291957830317
