,GEOID,INTPTLAT,INTPTLONG                                                                                                                  ,liquordense,popdense,housedense,liquordensereal,popdensereal,housedensereal
0,6075010100,37.8084198,-122.4085794,5.79536937109e-05,0.00481530801744,0.00291957830317,0.0249367659114,-0.117402005605,-0.0951134359894
1,6075010200,37.8058607,-122.4229252,7.7583732243e-06,0.00803573506707,0.00575865252574,-0.0974935724642,-0.0657228765867,-0.0197508924377
2,6075010300,37.8016201,-122.4156811,3.72764345836e-06,0.0143588826016,0.00872641333602,-0.107324839689,0.0357465099896,0.0590276056859
3,6075010400,37.8022725,-122.4075581,2.97851300717e-06,0.0135373416176,0.00859003151267,-0.109152027836,0.0225630030038,0.0554073829315
4,6075010500,37.8026841,-122.3990586,2.63286458592e-05,0.00392735634067,0.00290346455725,-0.0521992155325,-0.131651224283,-0.0955411715058
5,6075010600,37.7993784,-122.4063879,0.000229673863114,0.0207988377434,0.0122101035135,0.443775778037,0.139090342195,0.151501324983
6,6075010700,37.798514,-122.4100466,0.000103731608113,0.0305298501351,0.0165151639232,0.136592703079,0.295246726774,0.265778119876
7,6075010800,37.7964984,-122.4142914,8.84666082787e-06,0.020250006635,0.0120270353955,-0.0948391533218,0.130283089857,0.146641825747
8,6075010900,37.7980418,-122.4205531,0.000144136641536,0.0172963969843,0.0115749730745,0.23514376055,0.0828856572014,0.13464193998
9,6075011000,37.7943823,-122.4198054,9.16907354847e-05,0.0201177809175,0.0113113025503,0.107224066802,0.128161225332,0.127642869224
10,6075011100,37.7907445,-122.419076,0.000133793366282,0.0209366346509,0.0137361189382,0.209915697915,0.141301609226,0.192009038022
11,6075011200,37.7929713,-122.4127333,3.38192025432e-05,0.0185216499262,0.013138760188,-0.0339291580739,0.102547647332,0.176152293429
12,6075011300,37.7946971,-122.4093492,2.93263732074e-05,0.0307242636636,0.0163738917075,-0.0448875225293,0.29836653718,0.262028082831
13,6075011700,37.7904674,-122.4034859,0.000151067181734,0.00320658077418,0.00254656106351,0.252047893711,-0.143217719322,-0.105015089051
14,6075011800,37.7933506,-122.4061645,0.000141432713387,0.02651863376,0.0141432713387,0.228548666924,0.230877571573,0.202816800732
15,6075011901,37.7904728,-122.4139142,6.42116415706e-05,0.0386554082255,0.0274665296818,0.0402003934084,0.425639919487,0.556479494419
16,6075011902,37.7909959,-122.4098067,9.67190740761e-05,0.0279195727166,0.0212889428605,0.11948858049,0.253358846252,0.39249693554
17,6075012000,37.7879651,-122.4185205,0.000216038022692,0.030669397814,0.022371937461,0.410516889744,0.297486088943,0.421244767174
18,6075012100,37.7888066,-122.4118881,0.000372792621948,0.0310633504332,0.0194986749654,0.792853698091,0.303807961142,0.344974704124
19,6075012201,37.7858464,-122.4163535,0.00027160332877,0.0496164960998,0.0315711709363,0.546045045738,0.601535682909,0.66543621096
20,6075012202,37.7854142,-122.4196438,0.000129332643559,0.0321822728057,0.0176000172444,0.199035644016,0.321763633716,0.294575290804
21,6075012301,37.7859203,-122.4107461,0.000336418982712,0.0296699838302,0.0193820742943,0.704135528421,0.281448202223,0.341879567306
22,6075012302,37.7870223,-122.412097,0.000410154563509,0.0331685519385,0.0257749762542,0.883982414939,0.337590741663,0.51157761484
23,6075012401,37.7830511,-122.415789,0.000260957496548,0.0551816372908,0.031902053953,0.520079022838,0.690841121344,0.67421942119
24,6075012402,37.780125,-122.4177669,9.47033001315e-05,0.0110691445507,0.00701082960091,0.114571949144,-0.0170448728144,0.013487847364
25,6075012501,37.783016,-122.4109765,0.000184331797235,0.03933640553,0.0185658986175,0.33318290973,0.436568081193,0.320214379937
26,6075012502,37.783933,-122.4125954,8.15953523287e-05,0.0623551682496,0.0376807337054,0.0826006325085,0.805956857929,0.827613087706
27,6075012601,37.8022695,-122.4391478,5.27293286385e-05,0.0136451784888,0.00960845544079,0.0121941282031,0.0242934926233,0.082441201571
28,6075012602,37.806476,-122.4356807,6.35754179289e-06,0.00462352226888,0.00305797760238,-0.100910310608,-0.120479647263,-0.0914396598227
29,6075012700,37.8049898,-122.4447181,9.2056025297e-06,0.00803649100843,0.00524259064066,-0.0939636662528,-0.065710745776,-0.0334496312662
30,6075012800,37.7978099,-122.4417466,0.00010244234605,0.00824761319377,0.00528080250522,0.133448091408,-0.0623228066962,-0.0324353064965
31,6075012901,37.8019611,-122.427246,3.31281230158e-05,0.0141181017586,0.00936421610579,-0.0356147554476,0.0318826298089,0.0759579270674
32,6075012902,37.8006155,-122.4321032,4.25476391733e-05,0.00957605532328,0.00628286805126,-0.0126398139727,-0.0410049096762,-0.00583571718154
33,6075013000,37.7972449,-122.4305121,6.82867936073e-05,0.0110460717339,0.00731488133121,0.0501400100489,-0.0174151290127,0.0215588275393
34,6075013101,37.7937758,-122.4247493,1.15624981934e-05,0.0220323403074,0.0152567163661,-0.0882150121786,0.158884716409,0.232372931637
35,6075013200,37.7936676,-122.4387455,1.82922367747e-06,0.00761322894564,0.00473768932465,-0.111955234991,-0.0725029551365,-0.0468521154685
36,6075013300,37.7887307,-122.4524293,1.37620202646e-05,0.00728010871996,0.00359532779412,-0.0828502046859,-0.0778486322335,-0.0771758280055
37,6075013500,37.7908976,-122.4325551,4.25198993129e-05,0.0108680862644,0.0078959453024,-0.012707473676,-0.0202713135807,0.0369830311361
38,6075015100,37.7874457,-122.4234011,7.4577632447e-05,0.014301695207,0.010922754783,0.0654838612355,0.0348288072446,0.117328962035
39,6075015200,37.7879139,-122.4302666,7.52162467093e-05,0.0140905102169,0.00939844911263,0.0670414916972,0.0314398603186,0.0768666340143
