LICENSE NUMBER,STATUS,LICENSE TYPE, ORIG. ISS. DATE, EXPIR DATE, PRIMARY OWNER, PREMISES ADDR, PREMISES CSZ,BUSNESS NAME, MAILING ADDRESS, MAILING CSZ, CENSUS TRACT, GEO CODE
482051,ACTIVE,41,8/19/09,2/28/17,"HUANG, QIUE",1829 CLEMENT ST,"SAN FRANCISCO, CA  94121-2206",GOLDEN GATE DIM SUM SEAFOOD,,,426.01,3800
505227,ACTIVE,41,3/29/11,2/28/17,LAYALY GRILL INC,2435 CLEMENT ST,"SAN FRANCISCO, CA  94121-1921",LAYALY GRILL,,,427,3800
507460,ACTIVE,41,5/18/11,4/30/17,"LITVAK, IRINA",2229 CLEMENT ST,"SAN FRANCISCO, CA  94121-2018",,,,426.01,3800
508350,ACTIVE,47,2/28/11,4/30/17,"GILMER, KRYSTAL ANNETTE",3129 CLEMENT ST,"SAN FRANCISCO, CA  94121",TEE OFF SEAFOOD RESTAURANT,,,427,3800
512503,ACTIVE,41,9/19/11,8/31/17,"VICHITKUNAPORN, SAKOL",2121 CLEMENT ST,"SAN FRANCISCO, CA  94121",,,,426.01,3800
524976,ACTIVE,41,12/13/12,11/30/17,MINAMOTO LLC,2450 CLEMENT ST,"SAN FRANCISCO, CA  94121-1922",DAIGO SUSHI,,,427,3800
533706,ACTIVE,41,8/21/13,7/31/17,TAB ON INC.,2311 CLEMENT ST,"SAN FRANCISCO, CA  94121-1919",YOI,552 MONTEREY RD,"PACIFICA, CA  94044",427,3800
540575,ACTIVE,47,3/27/14,2/28/17,"BLUE FIN SUSHI, INC",1814 CLEMENT ST,"SAN FRANCISCO, CA  94121",BLUE FIN SUSHI,,,426.01,3800
545401,ACTIVE,41,9/26/14,8/31/17,NAMINORU CORPORATION,3123 CLEMENT ST,"SAN FRANCISCO, CA  94121-1615",OYAJI RESTAURANT,,,427,3800
547911,ACTIVE,41,12/19/14,11/30/17,AKIBA CORP,3141 CLEMENT ST,"SAN FRANCISCO, CA  94121-1615",AKIBA,,,427,3800
553127,ACTIVE,41,2/17/15,1/31/17,AJR FOODS LLC,2221 CLEMENT ST,"SAN FRANCISCO, CA  94121-2018",LUNA ROSSA,126 ALHAMBRA ST,"SAN FRANCISCO, CA  94123-2004",426.01,3800
557336,ACTIVE,41,8/6/15,7/31/17,"PATPONG THAI CUISINE, INC.",2415 CLEMENT ST,"SAN FRANCISCO, CA  94121","PATPONG THAI CUISINE, SIMILA THAI RESTAURANT",,,427,3800
560076,ACTIVE,47,10/2/15,9/30/17,COURTYARD SF CORPORATION,2436 CLEMENT ST,"SAN FRANCISCO, CA  94121-1922",INDIA CLAY OVEN RESTAURANT & BAR,,,427,3800
560298,ACTIVE,41,12/24/15,11/30/17,PROJECT PIZZA LLC,2339 CLEMENT ST,"SAN FRANCISCO, CA  94121-1919",FIORELLA,,,427,3800
565251,ACTIVE,41,3/11/16,2/28/17,"SILVER LEAF, INC.",2315 CLEMENT ST,"SAN FRANCISCO, CA  94121-1919",BILLS PLACE,1618 ROBERTA DR,"SAN MATEO, CA  94403-1027",427,3800
570412,ACTIVE,41,9/14/16,8/31/17,FLAME LLC THE,1801 CLEMENT ST,"SAN FRANCISCO, CA  94121-2206",FLAME LLC THE,,,426.01,3800
477342,SUREND,47,6/15/09,5/31/17,F & B ASSOCIATES INC,"60 CLIPPER COVE WAY, TREASURE ISLAND","SAN FRANCISCO, CA  94130-1702",ISLAND CAFE,"485 VALLEY DR, STE A","BRISBANE, CA  94005",179.02,3800
382492,ACTIVE,51,3/1/02,2/28/17,TREASURE ISLAND YACHT CLUB INC,66 CLIPPER COVE WY,"SAN FRANCISCO, CA  94130-3914",TREASURE ISLAND YACHT CLUB INC,,,615,3800
235058,ACTIVE,47,8/9/89,8/31/17,AMSTRA INC,900 COLE ST,"SAN FRANCISCO, CA  94117",KEZAR BAR & RESTAURANT,,,171.02,3800
408489,ACTIVE,42,12/29/03,6/30/17,"PEJOOHESH, BEHROOZ",904-906 COLE ST,"SAN FRANCISCO, CA  94117",VAL DE COLE,,,171.02,3800
410065,ACTIVE,41,4/13/04,3/31/17,"SOUDAH, ROGER HABEEB",848 COLE ST,"SAN FRANCISCO, CA  94117",REVERIE CAFE,,,171.02,3800
420607,ACTIVE,41,1/28/05,12/31/17,ZAZIE RESTAURANT LLC,941 COLE ST,"SAN FRANCISCO, CA  94117",ZAZIE RESTAURANT LLC,,,171.02,3800
427663,ACTIVE,41,8/19/05,7/31/17,BAMBINOS RISTORANTE INCORPORATED,945 COLE ST,"SAN FRANCISCO, CA  94117",BAMBINOS RISTORANTE,,,171.02,3800
476653,ACTIVE,41,5/5/09,4/30/17,WINGMEN CORPORATION,943 COLE ST,"SAN FRANCISCO, CA  94117-4315",KAMEKYO,,,171.02,3800
517913,ACTIVE,41,6/26/12,5/31/17,"ICE CREAM BAR, INC. THE",815 COLE ST,"SAN FRANCISCO, CA  94117-3907",ICE CREAM BAR THE,,,171.02,3800
521592,ACTIVE,47,2/14/13,1/31/17,PAPAZOTE COLE LLC,901 COLE ST,"SAN FRANCISCO, CA  94117-4315",PADRECITO,,,171.02,3800
553695,ACTIVE,48,4/9/15,3/31/17,"TWO BROTHERS ODH BAR GROUP, INC.",937 COLE ST,"SAN FRANCISCO, CA  94117-4315",FINNEGANS WAKE,"1130 SHRADER ST, # 3","SAN FRANCISCO, CA  94117-4205",171.02,3800
522092,ACTIVE,41,10/18/12,3/31/17,"COTHIJOLS, INC.",42 COLUMBUS AVE,"SAN FRANCISCO, CA  94111-2102",BASK,,,611,3800
566865,ACTIVE,41,5/5/16,4/30/17,CUCINA DEL MERCATO LLC,59 COLUMBUS AVE,"SAN FRANCISCO, CA  94111-2122",CAFFE MACARONI,888 MONTEREY BLVD,"SAN FRANCISCO, CA  94127-2240",611,3800
567471,ACTIVE,41,5/5/16,4/30/17,"YAN, LEIGHTON ",57 COLUMBUS AVE,"SAN FRANCISCO, CA  94111-2122",YANS KITCHEN,,,611,3800
161244,ACTIVE,41,1/2/85,4/30/17,"CASTELLUCCI, JOSE",555 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",,,,107,3800
168724,ACTIVE,42,2/26/85,4/30/17,BOHEMIAN CIGAR STORE INC,566 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",MARIOS BOHEMIAN CIGAR STORE ,,,106,3800
18339,ACTIVE,48,11/17/65,9/30/17,VESUVIO INC,255 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",VESUVIO,,,107,3800
219690,ACTIVE,41,8/4/88,10/31/17,"SULEIMAN, HANNA",423 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",CAFFE GRECO,,,107,3800
233150,ACTIVE,41,7/9/89,10/31/17,"NOZZOLINO, FRANCESCO",347 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",RISTORANTE FRANCHINO,,,107,3800
255351,ACTIVE,48,8/13/91,1/31/17,S A W ENTERTAINMENT LIMITED,300 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",CONDOR THE,"250 COLUMBUS AVE, STE 207","SAN FRANCISCO, CA  94133",106,3800
260688,ACTIVE,47,7/10/91,8/31/17,STINK INC,325 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",STINKING ROSE THE,420 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3902",107,3800
263866,ACTIVE,48,9/30/91,6/30/17,"HO, OK NAM",1000 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",INTERNATIONAL COCKTAIL,,,101,3800
313114,ACTIVE,48,2/29/96,1/31/17,PURGATORY INC,957 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",LA ROCCAS CORNER,,,103,3800
322179,ACTIVE,41,4/1/97,3/31/17,CAFFE ROMA ROASTING COMPANY L-PSHIP,526 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",CAFFE ROMA,,,106,3800
332165,ACTIVE,41,7/21/97,6/30/17,"MATSUDA, KATSUYOSHI",745 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",SUSHI ON NORTH BEACH KATSU,,,107,3800
332402,ACTIVE,41,8/13/97,7/31/17,"SWAMI, BRAHMABUTA K",1040 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-1702",CABLE CAR RESTAURANT,,,101,3800
343021,ACTIVE,47,12/22/98,6/30/17,C P C RESTAURANT INC,430 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",CALZONES PIZZA CUCINA,,,106,3800
345510,ACTIVE,47,11/30/98,2/28/17,NICE VENTURES L-PSHIP,532 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",ROSE PISTOLAS,"4104 24TH ST, PMB 8111","SAN FRANCISCO, CA  94114",106,3800
347109,ACTIVE,41,11/5/98,10/31/17,"DANG, JOANIE",1329 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",JOANIES HAPPY DAYS DINER,,,102,3800
362944,ACTIVE,47,12/31/03,11/30/17,CCMH FISHERMANS WHARF LLC,1250 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",SAN FRANCISCO MARRIOTT FISHERMANS WHARF HOTEL,"6603 ROCKLEDGE DR, STE 1500","BETHESDA, MD  20817",101,3800
371528,ACTIVE,41,1/24/01,8/31/17,DELUCCHI MECHANICAL INC,500 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",CAFE DELUCCHI,,,106,3800
372446,ACTIVE,47,6/22/01,5/31/17,PINOCCHIO LLC,401 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3901",TRATTORIA PINOCCHIO,,,107,3800
376174,ACTIVE,41,5/22/01,2/28/17,MONA LISA INC,353 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",MONA LISA RESTAURANT,,,107,3800
384521,ACTIVE,41,3/25/02,2/28/17,"DUDUM, NORMAN ISHAQ",308 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",TACQUERIA ZORRO,,,106,3800
386804,ACTIVE,47,9/30/02,8/31/17,BRANDY HO & BROTHERS INC,217 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",BRANDY HOS HUNAN FOOD,,,107,3800
394780,ACTIVE,41,6/2/03,5/31/17,"HARARAH, RATIBA MOHAMED",901 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",901 COLUMBUS CAFE,118 MORTON DR,"DALY CITY, CA  94015",103,3800
416167,ACTIVE,41,2/7/05,9/30/17,SALVATORE ENTERPRISES INC THE,579 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",MICHAELANGELO CAFFE,,,107,3800
416857,ACTIVE,41,10/25/04,9/30/17,GAVAN LLC,366 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",BUSTERS RESTAURANT,,,106,3800
445281,ACTIVE,41,12/14/06,12/31/17,BURGERMEISTER MANAGEMENT INC,759 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-2701",BURGERMEISTER,499 SANTA BARBARA AVE,"DALY CITY, CA  94014",107,3800
452419,ACTIVE,47,6/14/07,6/30/17,CAMPO DEI FIORI INC,270 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4518",E TUTTO QUA,,,106,3800
466703,ACTIVE,41,6/19/08,5/31/17,"AWADALLA, ALA MOHAMMAD",314 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3908",PIZZELLE DI NORTH BEACH,,,106,3800
470657,ACTIVE,47,12/26/08,2/28/17,IL BARONE INC,431 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3901",PANTA REI,,,107,3800
482076,ACTIVE,47,2/3/10,1/31/17,ABSINTHE GROUP INC THE,155 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-5114",COMSTOCK SALOON,450 GOUGH ST,"SAN FRANCISCO, CA  94102",611,3800
485147,ACTIVE,41,4/21/10,10/31/17,PELLEGRINI LLC,659 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-2829",PIAZZA PELLEGRINI,,,107,3800
485429,ACTIVE,41,2/3/10,9/30/17,GRADELU LLC,411 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3901",CAFFE PUCCINI,,,107,3800
505130,ACTIVE,41,3/9/11,2/28/17,COOKHOUSE LLC,253 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4508",COOKHOUSE,,,107,3800
523780,ACTIVE,47,8/27/12,7/31/17,BHR OPERATIONS LLC,1300 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-1328",HOLIDAY INN SAN FRANCISCO FISHERMANS WHARF,"545 E JOHN CARPENTER FWY, STE 1300","IRVING, TX  75062-8124",101,3800
524623,ACTIVE,41,11/21/12,10/31/17,"MOUTAM, NAIMA",210 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4509",BRIOCHE BAKERY & CAFE,,,106,3800
528752,ACTIVE,47,11/12/13,10/31/17,SAN FRANCISCO CULINARY VENTURES LLC,124-140 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",DOC RICKETTS,124 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",611,3800
529884,ACTIVE,47,5/15/13,4/30/17,242 COLUMBUS AVE LLC,242 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4509",TOSCA CAFE,"916 KEARNY ST, # 403","SAN FRANCISCO, CA  94133",106,3800
532034,ACTIVE,41,8/5/13,7/31/17,"P AND F RISTO, INC.",348 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3915",IL CASARO PIZZERIA  & MOZZARELLA BAR,115 FREDERICK ST,"SAN FRANCISCO, CA  94117",106,3800
537925,ACTIVE,48,12/1/14,6/30/17,ELECTROCELT PROMOTIONS INC,256 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4518",,"244 KEARNY ST, 7TH FLOOR","SAN FRANCISCO, CA  94108",106,3800
538830,ACTIVE,47,3/20/14,2/28/17,HOB PUNCH LINE S.F. CORP.,915 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-2309",COBBS COMEDY CLUB,9348 CIVIC CENTER DR,"BEVERLY HILLS, CA  90210-3624",103,3800
558003,ACTIVE,47,10/12/15,9/30/17,"HQ3 LLC
",561 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-2801",HQ3,,,107,3800
563901,ACTIVE,41,2/29/16,1/31/17,"BAKED BEAR II, LLC",303 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3907",BAKED BEAR THE,623 UPLAND RD,"REDWOOD CITY, CA  94062-2828",107,3800
564474,ACTIVE,41,3/18/16,2/28/17,SICULI LLC,414 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3902",U.S. RESTAURANT,,,106,3800
567384,ACTIVE,41,5/19/16,4/30/17,PEPPERCORN LLC,700 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",PEPPERCORN,"2555 LEAVENWORTH ST, #102","SAN FRANCISCO, CA  94133",104,3800
569720,ACTIVE,41,8/10/16,7/31/17,DA FLORA LLC,701 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",DA FLORA,,,107,3800
571024,ACTIVE,48,10/7/16,9/30/17,"COOPER, JACQUELINE MARIA",201 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-4508", MR BINGS,8200 GEARY BLVD,"SAN FRANCISCO, CA  94121",107,3800
571146,ACTIVE,41,9/28/16,8/31/17,"SURF AND TURF, LLC",316-318 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-3908",BETTY LOUS SEAFOOD & GRILL,448 UNION ST,"SAN FRANCISCO, CA  94133-3415",106,3800
571365,ACTIVE,47,9/23/16,5/31/17,"LAU, ALEX KAM HO",1333 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-1325",FIDDLERS GREEN OF SF,,,102,3800
571791,ACTIVE,41,11/2/16,10/31/17,UVA INC,519 COLUMBUS AVE,"SAN FRANCISCO, CA  94133-2801",LOSTERIA DEL FORNO,,,107,3800
9764,ACTIVE,47,6/8/51,4/30/17,BIMBOS 365 CLUB INC,1025 COLUMBUS AVE,"SAN FRANCISCO, CA  94133",BIMBOS 365 CLUB,,,103,3800
521004,ACTIVE,86,5/22/12,5/31/17,NAJWA INC.,585 COLUMBUS ST.,"SAN FRANCISCO, CA  94133-2801",COIT LIQUORS,,,107,3800
534942,ACTIVE,41,12/16/15,11/30/17,SLURP RAMEN,710 COMMERCIAL ST,"SAN FRANCISCO, CA  94108-1803",SLURP RAMEN,1352 KEARNY ST,"SAN FRANCISCO, CA  94133-3449",150,3800
279008,ACTIVE,41,12/15/92,8/31/17,CITY VIEW RESTAURANT INCORPORATED,662 COMMERCIAL ST,"SAN FRANCISCO, CA  94111",CITY VIEW RESTAURANT,,,611,3800
408991,ACTIVE,48,2/20/04,6/30/17,EZ5 INC,682-684 COMMERCIAL ST,"SAN FRANCISCO, CA  94111",EZ5,,,611,3800
524535,ACTIVE,47,12/13/12,10/31/17,MERCEDES CANTINA INC.,653 COMMERCIAL ST,"SAN FRANCISCO, CA  94111-2503",MERCEDES RESTAURANT,,,611,3800
534298,ACTIVE,41,9/27/13,8/31/17,TLALOC SABOR MEXICANO LLC,525 COMMERCIAL ST,"SAN FRANCISCO, CA  94111-3005",,,,611,3800
551014,ACTIVE,47,3/4/15,2/28/17,"WI WHY SLY, LLC",531 COMMERCIAL ST,"SAN FRANCISCO, CA  94111-3005",MARENGO ON THE ALLEY,"2000 VALLEJO ST, #19","SAN FRANCISCO, CA  94123-4894",611,3800
210436,ACTIVE,41,2/1/88,6/30/17,GOAT HILL INC,300 CONNECTICUT ST,"SAN FRANCISCO, CA  94107",GOAT HILL PIZZA,,,227.02,3800
475242,ACTIVE,41,2/23/09,1/31/17,GRANDEHOS INCORPORATED,288 CONNECTICUT ST,"SAN FRANCISCO, CA  94107-2403",SUNFLOWER POTRERO HILL,2721 HYDE ST,"SAN FRANCISCO, CA  94109",227.02,3800
507360,ACTIVE,41,4/15/11,3/31/17,LA ESQUINA LLC,317 CONNECTICUT ST,"SAN FRANCISCO, CA  94107-2815",PAPITO,1401 18TH ST,"SAN FRANCISCO, CA  94107-2801",227.02,3800
560165,ACTIVE,47,10/9/15,9/30/17,"LITTLE'S, LLC",100 CONNECTICUT ST,"SAN FRANCISCO, CA  94107","CONNECTICUT YANKEE, THE",,,227.02,3800
333662,ACTIVE,41,9/16/97,8/31/17,"CHEN, SHAN XIN",525 CORTLAND AVE,"SAN FRANCISCO, CA  94110",HUNAN CHEF RESTAURANT,,,252,3800
417359,ACTIVE,41,10/5/04,5/31/17,LIGURIA INVESTMENT INC,419 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5537",VALENTINA RISTORANTE,,,252,3800
433271,ACTIVE,41,4/5/06,3/31/17,"FREEMANBRADY, VEGA MARGOT",629 CORTLAND AVE,"SAN FRANCISCO, CA  94110",VINOROSSO,,,252,3800
443679,ACTIVE,41,1/16/07,12/31/17,PIQUEOS LLC,830 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5631",PIQUEOS LLC,778 LAKEVIEW AVE,"SAN FRANCISCO, CA  94112",254.02,3800
468814,ACTIVE,41,9/4/08,8/31/17,LIMEBERRY INC,615 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5613",MOKIS SUSHI AND PACIFIC GRILL,,,252,3800
469942,ACTIVE,41,1/28/09,12/31/17,"YOUSEF, BASSAM AZIZ",634 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5614",MOONLIGHT CAFE,,,254.02,3800
479831,ACTIVE,41,3/11/10,6/30/17,"MARISCAL, NOEL",737 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5628",TACO LOS ALTOS,,,252,3800
480582,ACTIVE,48,10/7/09,10/31/17,PATRICIA ANN RAMSEYER LIVING TRUST DATED 5-16-05 T,424 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5538",WILD SIDE WEST,,,254.01,3800
503041,ACTIVE,48,4/29/11,3/31/17,"DELGADILLO, LISA MARIE",453 CORTLAND AVE,"SAN FRANCISCO, CA  94110",LUCKY HORSESHOE BAR,,,252,3800
513945,ACTIVE,41,12/2/11,11/30/17,ROMA INVESTMENTS INC,410 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5538",LIBERTY CAFE & BAKERY,,,254.01,3800
516933,ACTIVE,41,2/24/12,1/31/17,"BENARAFA, AZIZ ABDELALI",400 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5538",PROGRESSIVE GROUNDS,,,254.01,3800
532091,ACTIVE,48,6/12/13,5/31/17,"CORTLAND BUSINESS GROUP, LLC",309 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5535",HOLY WATER,,,252,3800
544191,ACTIVE,41,12/9/14,11/30/17,BRITTLESTAR LLC,803 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5630",RED HILL STATION,,,252,3800
544906,ACTIVE,41,11/10/15,10/31/17,ICULINAIRE LLC,919 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5632",KINFOLK,2555 DIAMOND ST,"SAN FRANCISCO, CA  94131-3009",252,3800
551573,ACTIVE,86,2/5/15,1/31/17,"EPICUREAN TRADER, LLC THE",401 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5537",EPICUREAN TRADER THE,21 PUTNAM ST,"SAN FRANCISCO, CA  94110-6213",252,3800
560990,ACTIVE,86,1/5/16,12/31/16,HEALTHY SPIRITS INC.,249 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5556",HEALTHY SPIRITS CORTLAND,2299 15TH ST,"SAN FRANCISCO, CA  94114-1237",253,3800
571183,ACTIVE,41,8/25/16,7/31/17,"NAKASUWAN, INC",903 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5632",NUTE'S,1574 9TH AVE,"SAN FRANCISCO, CA  94122",252,3800
571517,ACTIVE,41,9/28/16,8/31/17,"LWIN, LAXMI ",925 CORTLAND AVE,"SAN FRANCISCO, CA  94110-5632",LITTLE NEPAL RESTAURANT,,,252,3800
337114,ACTIVE,47,3/5/98,2/28/17,LE COLONIAL S F RESTAURANT LLC,20 COSMO PL,"SAN FRANCISCO, CA  94109",,,,121,3800
555966,ACTIVE,47,7/9/15,6/30/17,P55 BEVERAGE LLC,55 CYRIL MAGNIN ST,"SAN FRANCISCO, CA  94102-2812",PARC 55,"610 SMITHFIELD ST, STE 300","PITTSBURGH, PA  15222-2512",125.01,3800
557867,ACTIVE,41,11/10/15,10/31/17,FCRB LLC,101 CYRIL MAGNIN ST,"SAN FRANCISCO, CA  94102-2129",FIRST CRUSH RESTAURANT BAR & LOUNGE,,,123.01,3800
558156,ACTIVE,47,11/9/15,10/31/17,HST POWELL LLC,28 CYRIL MAGNIN ST,"SAN FRANCISCO, CA  94102-2838",AXIOM HOTEL,"6903 ROCKLEDGE DRIVE, STE 1500","BETHESDA, MD  20817-1862",125.01,3800
561668,ACTIVE,41,12/3/15,11/30/17,"MIYABI FUSION JAPANESE CUISINE, INC",115 CYRIL MAGNIN ST,"SAN FRANCISCO, CA  94102-2129",MIYABIYA SUSHI & GRILL,,,123.01,3800
563205,ACTIVE,41,1/14/16,12/31/16,SHUN CHANG ENTERPRISE INC,138 CYRIL MAGNIN ST,"SAN FRANCISCO, CA  94102-2113",TIAN SING CHINESE RESTAURANT,,,125.01,3800
422621,ACTIVE,47,4/15/05,3/31/17,FUDYM AND SONS INC,465 DAVIS CT,"SAN FRANCISCO, CA  94111-2465",LOLIVIER RESTAURANT,,,105,3800
529505,ACTIVE,41,3/13/13,2/28/17,RYAN SCOTT 2 GO LLC,"300 DE HARO ST, STE # 342-344","SAN FRANCISCO, CA  94103-5165",MARKET & RYE,,,607,3800
553540,ACTIVE,41,6/10/15,5/31/17,SANSA CORPORATION,"300 DEHARO ST, SPC 332","SAN FRANCISCO, CA  94103-5144",,"530 ALAMEDA DEL PRADO, #331","NOVATO, CA  94949-9810",607,3800
553102,ACTIVE,41,3/26/15,2/28/17,"TAVARES, INC.","300 DEHARO ST, STE 338","SAN FRANCISCO, CA  94103-5165",TAVARES,,,607,3800
528473,ACTIVE,41,2/12/13,1/31/17,SARAH NATIONAL ENTERPRISES,400 DEWEY BLVD,"SAN FRANCISCO, CA  94116",CHOU CHOU BAKERY BISTRO,,,304,3800
533642,ACTIVE,41,7/17/13,6/30/17,"UPPERLAND, INCORPORATED",406 DEWEY BLVD,"SAN FRANCISCO, CA  94116-1425",SUSHI SHOH,2171 45TH AVE,"SAN FRANCISCO, CA  94116-1502",304,3800
557736,ACTIVE,41,9/9/15,8/31/17,"TSE, YIN KIT",408 DEWEY BLVD,"SAN FRANCISCO, CA  94116-1425",,,,304,3800
556044,ACTIVE,41,10/12/15,9/30/17,"S.C. LIANG, INC.",5238 DIAMOND HEIGHTS BLVD,"SAN FRANCISCO, CA  94131-2118",HARBOR VILLA RESTAURANT,"739 WASHINGTON ST, #300","SAN FRANCISCO, CA  94108-1334",217,3800
560959,ACTIVE,41,12/31/15,11/30/17,"LEE, MARILYN SERAN","5214 DIAMOND HEIGHTS BLVD, #A","SAN FRANCISCO, CA  94131-2118",CHOICE YAKINIKU,,,217,3800
284475,ACTIVE,41,6/9/93,5/31/17,VI PA INC,737 DIAMOND ST,"SAN FRANCISCO, CA  94114",RISTORANTE BACCO,,,212,3800
570480,ACTIVE,41,8/9/16,7/31/17,DIAMOND CAF_LLC,751 DIAMOND ST,"SAN FRANCISCO, CA  94114-3227",DIAMOND CAFE,,,212,3800
248298,ACTIVE,48,9/24/90,8/31/17,T J & R PUB INC,2816 DIAMOND ST,"SAN FRANCISCO, CA  94131",GLEN PARK STATION,,,218,3800
310691,ACTIVE,41,10/18/95,9/30/17,"CAMPOS, JOEL",2834 DIAMOND ST,"SAN FRANCISCO, CA  94131",LA CORNETA TAQUERIA,454 HAZEL AVE,"SAN BRUNO, CA  94066",218,3800
442765,ACTIVE,42,12/20/06,11/30/17,CANYON MARKET,2815 DIAMOND ST,"SAN FRANCISCO, CA  94131-3004",CANYON MARKET,,,218,3800
445136,ACTIVE,41,1/5/07,12/31/17,1959 LLC,2842 DIAMOND ST,"SAN FRANCISCO, CA  94131-3005",GIALINA,,,218,3800
468653,ACTIVE,41,12/2/09,11/30/17,"JWEINAT, MANHAL SAMI",2790 DIAMOND ST,"SAN FRANCISCO, CA  94131-3057",MANZONI,,,218,3800
548148,ACTIVE,41,12/9/14,11/30/17,"GUAN, SHILIANG",2794 DIAMOND ST,"SAN FRANCISCO, CA  94131-3057",WIN GARDEN,737 WASHINGTON ST,"SAN FRANCISCO, CA  94131-1350",218,3800
572490,ACTIVE,41,9/30/16,8/31/17,ONE WAAN LLC,2922 DIAMOND ST,"SAN FRANCISCO, CA  94131-3208",ONE WAAN THAI,1060 BUSH ST #512,"SAN FRANCISCO, CA  94109-6206",311,3800
120144,ACTIVE,41,3/15/82,4/30/17,"ZAAROUR, BOTRUS I",1661 DIVISADERO ST,"SAN FRANCISCO, CA  94115",PETES DELI & CAFE BAY STATE MARKET,,,155,3800
272287,ACTIVE,41,2/17/93,1/31/17,"HAVLICEK, MILA",1812 DIVISADERO ST,"SAN FRANCISCO, CA  94115",EL BURRITO EXPRESS,,,153,3800
380215,ACTIVE,41,10/15/01,9/30/17,GODZILA SUSHI INC,1800 DIVISADERO ST,"SAN FRANCISCO, CA  94115-2517",GODZILA SUSHI,,,153,3800
410813,ACTIVE,41,5/11/04,4/30/17,BISTRO AMERICAN LLC,919 DIVISADERO ST,"SAN FRANCISCO, CA  94115-4402",BRENDA'S MEAT & THREE,,,158.02,3800
467451,ACTIVE,41,2/10/10,1/31/17,"HAILE, TADDESSE NIGUSSE",901 DIVISADERO ST,"SAN FRANCISCO, CA  94115-4402",FRIENDS CAFE,,,158.02,3800
469129,ACTIVE,41,8/25/08,7/31/17,"LAM, WING KIT",1828 DIVISADERO ST,"SAN FRANCISCO, CA  94115-2517",YUM YUM HUNAN,,,153,3800
