LICENSE NUMBER,STATUS,LICENSE TYPE, ORIG. ISS. DATE, EXPIR DATE, PRIMARY OWNER, PREMISES ADDR, PREMISES CSZ,BUSNESS NAME, MAILING ADDRESS, MAILING CSZ, CENSUS TRACT, GEO CODE
467854,ACTIVE,41,7/15/08,6/30/17,JASMINE GARDEN LLC,708 14TH ST,"SAN FRANCISCO, CA  94114-1106",JASMINE GARDEN LLC,,,169,3800
566673,ACTIVE,47,5/2/16,4/30/17,"SEAGLASS MANAGEMENT COMPANY, LLC","PIER 15, THE EMBARCADERO","SAN FRANCISCO, CA  94111",SEAGLASS,"PIER 17 THE EMBARCADERO, STE 200","SAN FRANCISCO, CA  94111",105,3800
565697,ACTIVE,48,6/3/16,5/31/17,"SYSTEM SF, LLC",550 15TH ST,"SAN FRANCISCO, CA  94103-5029",GREAT NORTHERN THE,101 6TH ST,"SAN FRANCISCO, CA  94103-2814",177,3800
167655,ACTIVE,41,1/9/85,5/31/17,"MUELA, LUIS P",3120 16TH ST,"SAN FRANCISCO, CA  94103",CAFE PICARO,,,202,3800
179048,ACTIVE,41,1/29/86,8/31/17,"ESPINOZA, GUERRERO",3071 16TH ST,"SAN FRANCISCO, CA  94103",PANCHO VILLA TAQUERIA LLC,,,201,3800
195685,ACTIVE,48,1/12/87,5/31/17,LA CIUDAD CLU,2950 16TH ST,"SAN FRANCISCO, CA  94103",CITY CLUB,,,201,3800
249113,ACTIVE,41,7/3/90,3/31/17,"WONG, BING CHIU",2960 16TH ST,"SAN FRANCISCO, CA  94103",MISSION HUNAN RESTAURANT,,,201,3800
251845,ACTIVE,41,2/28/91,5/31/17,"CAMPOS, DORIS M",3091 16TH ST,"SAN FRANCISCO, CA  94103",PANCHITAS 2,,,201,3800
282933,ACTIVE,48,5/7/93,4/30/17,DALVA ENTERTAINMENTS INC,3121 16TH ST,"SAN FRANCISCO, CA  94103",DALVA ENTERTAINMENTS INC,,,202,3800
289686,ACTIVE,48,4/8/94,3/31/17,NSTB INC,3160 16TH ST,"SAN FRANCISCO, CA  94103",KILOWATT,,,202,3800
308587,ACTIVE,41,7/19/95,6/30/17,"AMIN, FARNAZ",3180-3182 16TH ST,"SAN FRANCISCO, CA  94103",PASTAIO,,,202,3800
405553,ACTIVE,48,11/21/03,10/31/17,HACHE GROUP LLC THE,3200 16TH ST,"SAN FRANCISCO, CA  94103",ELIXIR,,,202,3800
420852,ACTIVE,48,5/9/05,4/30/18,DELIRIUM COCKTAILS INC,3139 16TH ST,"SAN FRANCISCO, CA  94103",DELIRIUM COCKTAILS INC,,,202,3800
427945,ACTIVE,41,9/6/05,8/31/17,TAQUERIA LOS COYOTES NO 2 INC,3036 16TH ST,"SAN FRANCISCO, CA  94103",TAQUERIA LOS COYOTES NO 2,,,201,3800
433718,ACTIVE,47,12/23/05,11/30/17,2 X PLAY LLC,2401 16TH ST,"SAN FRANCISCO, CA  94103-4210",DOUBLE PLAY BAR AND GRILL THE ,,,177,3800
438649,ACTIVE,41,7/14/06,5/31/17,CAFE LA ONDA LLC,3159 16TH ST,"SAN FRANCISCO, CA  94103-3334",GESTALT HAUS,,,202,3800
439253,ACTIVE,48,6/20/06,5/31/17,MISSION TEAM PLAYERS LLC,3192 16TH ST,"SAN FRANCISCO, CA  94103-3363",,,,202,3800
470153,ACTIVE,41,1/28/09,12/31/16,WORLD SOCCOR CAFE LLC,2797 16TH ST,"SAN FRANCISCO, CA  94103-4215",SOCCER CAFE,,,177,3800
473108,ACTIVE,41,4/9/09,3/31/17,"KATZ, MICHAEL ARAM",3147 16TH ST,"SAN FRANCISCO, CA  94103-3334",PIZZA 16,,,202,3800
478682,ACTIVE,41,7/12/12,10/31/17,PATCH EDWARD LLC,3141 16TH ST,"SAN FRANCISCO, CA  94103-3334",MONKS KETTLE THE,,,202,3800
505746,ACTIVE,48,11/23/10,10/31/17,"ENGELBRECHT, FREDERICK STEVEN",3089 16TH ST,"SAN FRANCISCO, CA  94103",SKYLARK,,,201,3800
509056,ACTIVE,41,6/17/11,5/31/17,"BUI, LUAN  T",3214 16TH ST,"SAN FRANCISCO, CA  94103-3322",KRUA THAI KITCHEN,,,202,3800
513079,ACTIVE,41,11/23/11,10/31/17,HAPA & STEIN INC,3228 16TH ST,"SAN FRANCISCO, CA  94103-3335",MOZZERIA,419 LAWTON ST,"SAN FRANCISCO, CA  94122-3628",202,3800
518517,ACTIVE,41,4/10/12,3/31/17,NEW BIG LANTERN INC,3170 16TH ST,"SAN FRANCISCO, CA  94103-3363",BIG LANTERN,,,202,3800
518611,ACTIVE,47,4/24/12,3/31/17,GIORDANO DEMEZZA GROUP LLC,3108 16TH ST,"SAN FRANCISCO, CA  94103-3328",GIORDANO BROS,,,202,3800
520770,ACTIVE,48,5/22/13,4/30/17,"P&T WEST HOLDINGS, LLC",2925 16TH ST,"SAN FRANCISCO, CA  94103-3612",SLATE BAR,"571 VALENCIA STREET, APT 4","SAN FRANCISCO, CA  94110-2343",201,3800
530396,ACTIVE,41,5/1/13,4/30/17,EK FOOD SERVICES INC,3232 16TH ST,"SAN FRANCISCO, CA  94103-3335",,150 ASSOCIATED RD,"SOUTH SAN FRANCISCO, CA  94080",202,3800
533825,ACTIVE,41,9/16/13,8/31/17,MARU GROUP LLC,2931 16TH ST,"SAN FRANCISCO, CA  94103-3612",MARUYA,,,201,3800
534852,ACTIVE,47,11/3/16,12/31/16,"CATECHI, WILLIAM J",2007 16TH ST,"SAN FRANCISCO, CA  94103-4818",IL PIRATA,,,177,3800
536798,ACTIVE,41,12/13/13,11/30/17,"SILARGORN, NARUPON",3189 16TH ST,"SAN FRANCISCO, CA  94103-3334",LERS ROS 16TH STREET,,,202,3800
537675,ACTIVE,47,5/8/14,4/30/17,ABVSF LLC,3174 16TH ST,"SAN FRANCISCO, CA  94103-3363",ABV,,,202,3800
540433,ACTIVE,47,4/4/14,3/31/17,"3122 16TH STREET, INC.",3122 16TH ST,"SAN FRANCISCO, CA  94103-3328",PORK STORE CAFE-VALENCIA,,,202,3800
540892,ACTIVE,47,4/28/14,3/31/17,"CHINO-AMERICANO, LLC",3198 16TH ST,"SAN FRANCISCO, CA  94103-3363",BAR SAN PANCHO,1509 CHURCH ST,"SAN FRANCISCO, CA  94131-2017",202,3800
541061,ACTIVE,41,3/18/14,2/28/17,YUCATECA FOOD CORPORATION,2886 16TH ST,"SAN FRANCISCO, CA  94103-3634",POC-CHUC,,,177,3800
542298,ACTIVE,48,5/28/14,4/30/17,"MISSION SPIRITS, INC",3079 16TH ST,"SAN FRANCISCO, CA  94103-3420",,2320 FILBERT ST,"SAN FRANCISCO, CA  94123-3314",201,3800
545730,ACTIVE,47,9/10/14,10/31/17,BEARDS AND MUSTACHES LLC,2700 16TH ST,"SAN FRANCISCO, CA  94103-4216",DEAR MOM,"1003 10TH ST , STE. A","MODESTO, CA  95354",177,3800
550499,ACTIVE,40,4/28/15,10/31/17,ROXIE THEATRE THE,3117 16TH ST,"SAN FRANCISCO, CA  94103-3327",ROXIE THEATRE,3125 16TH ST,"SAN FRANCISCO, CA  94103-3327",202,3800
558427,ACTIVE,41,11/10/15,10/31/16,S&R WEST HOLDINGS LLC,2919 16TH ST,"SAN FRANCISCO, CA  94103-3612",STARBOARD,2919 16TH ST,"SAN FRANCISCO, CA  94103-3612",201,3800
560267,ACTIVE,41,12/18/15,11/30/17,V16 LLC,3092 16TH ST,"SAN FRANCISCO, CA  94103-3417",,239 HARBOR WAY,"SOUTH SAN FRANCISCO, CA  94080-6811",201,3800
566055,ACTIVE,47,6/24/16,5/31/17,"3065 16TH STREET PARTNERS, LLC",3065 16TH ST,"SAN FRANCISCO, CA  94103-3421",,635 VALLEJO ST,"SAN FRANCISCO, CA  94133-3918",201,3800
530332,ACTIVE,40,5/21/13,4/30/17,"KWON, DOO SUN",1220 16TH ST,"SAN FRANCISCO, CA  94107-2330",WOLFE'S LUNCH,,,607,3800
